,jg,jl,B,DpDz,Substance,Re liquid,Re gas,x,G
22,3.2406365613541,0.27488814258590333,6.527348059895572e-05,37773.257302440164,CO2,3224.1363504575797,26308.222545258992,0.4591836734693878,500
23,3.35585919464669,0.2665896326210459,6.295026138524881e-05,38458.774995802014,CO2,3126.803932330559,27145.80831633404,0.4755102040816327,500
24,3.47108182793928,0.2582911226561884,6.070331458675582e-05,39108.582936193205,CO2,3029.4715142035375,27980.687420796545,0.49183673469387756,500
25,3.5863044612318697,0.249992612691331,5.852616702992057e-05,39721.839909985414,CO2,2932.1390960765166,28812.894809094374,0.5081632653061224,500
26,3.701527094524461,0.2416941027264735,5.641293071955523e-05,40297.64308529264,CO2,2834.8066779494948,29642.456763887603,0.5244897959183674,500
27,3.816749727817051,0.23339559276161603,5.435822053861891e-05,40835.02334497242,CO2,2737.4742598224734,30469.39119915475,0.5408163265306123,500
28,3.9319723611096404,0.22509708279675858,5.235708339473766e-05,41332.93962731861,CO2,2640.1418416954525,31293.707827782677,0.5571428571428572,500
29,4.047194994402231,0.21679857283190115,5.0404936556330136e-05,41790.27212413714,CO2,2542.809423568431,32115.408200598464,0.573469387755102,500
30,4.162417627694821,0.20850006286704365,4.8497514293547006e-05,42205.8150002753,CO2,2445.4770054414093,32934.48566359293,0.589795918367347,500
31,4.277640260987412,0.20020155290218622,4.6630816890921354e-05,42578.26459148976,CO2,2348.1445873143884,33750.92501182096,0.6061224489795919,500
32,4.392862894280001,0.19190304293732877,4.480107037210834e-05,42906.21120319614,CO2,2250.8121691873675,34564.70230561919,0.6224489795918368,500
33,4.508085527572592,0.1836045329724713,4.300468330517991e-05,43188.123312432595,CO2,2153.479751060346,35375.78421969305,0.6387755102040816,500
34,4.623308160865181,0.17530602300761386,4.123820949291659e-05,43422.33233158076,CO2,2056.147332933325,36184.12739000919,0.6551020408163265,500
35,4.738530794157772,0.16700751304275635,3.327273682722507e-05,37677.170300365404,CO2,1958.814914806303,36649.38978124785,0.6714285714285715,500
36,4.853753427450362,0.1587090030778989,3.216389760527696e-05,38255.09522551631,CO2,1861.482496679282,37479.14957052466,0.6877551020408164,500
37,4.9689760607429525,0.15041049311304147,3.106632953534825e-05,38800.44087292815,CO2,1764.150078552261,38306.8349968431,0.7040816326530612,500
38,5.0841986940355435,0.14211198314818396,2.997717722253169e-05,39310.33946578083,CO2,1666.8176604252392,39132.33294426622,0.7204081632653062,500
39,5.199421327328134,0.1338134731833265,2.889345497377995e-05,39781.5343566432,CO2,1569.4852422982178,39955.50935708181,0.7367346938775511,500
40,5.314643960620723,0.12551496321846906,2.7811982061841853e-05,40210.29559293912,CO2,1472.152824171197,40776.204834813805,0.753061224489796,500
41,5.429866593913314,0.11721645325361163,2.6729301788763766e-05,40592.31006276809,CO2,1374.8204060441758,41594.228834986476,0.7693877551020408,500
42,5.545089227205903,0.10891794328875418,2.5641577162168946e-05,40922.53619527503,CO2,1277.4879879171547,42409.35192939649,0.7857142857142857,500
43,5.660311860498495,0.10061943332389667,2.454445225839533e-05,41195.007999815316,CO2,1180.1555697901329,43221.29526841566,0.8020408163265307,500
44,5.775534493791084,0.09232092335903923,2.343286263930718e-05,41402.56525222936,CO2,1082.8231516631117,44029.71595881882,0.8183673469387756,500
45,5.890757127083675,0.08402241339418177,2.2300765497502883e-05,41536.469766189795,CO2,985.4907335360905,44834.18610941593,0.8346938775510204,500
46,6.005979760376265,0.07572390342932427,2.1140749955413662e-05,41585.8520396507,CO2,888.1583154090687,45634.16240297322,0.8510204081632654,500
47,6.121202393668855,0.06742539346446683,1.994343708443898e-05,41536.867249243565,CO2,790.8258972820477,46428.939355776514,0.8673469387755103,500
48,6.236425026961445,0.05912688349960938,1.869653167047867e-05,41371.3720676235,CO2,693.4934791550264,47217.57553578501,0.8836734693877552,500
49,6.351647660254035,0.050828373534751926,1.7383225249159917e-05,41064.72111461959,CO2,596.1610610280053,47998.76983674828,0.9,500
