,jg,jl,B,DpDz,Substance,Re liquid,Re gas,x,fi,alpha,Pred,G
28,2.3591834166657843,0.13505824967805516,4.746781254971586e-05,15281.959023335448,CO2,1584.0851050172714,18637.662299660187,0.5571428571428572,0.8707575866051548,2552.608072562343,0.3590307097011989,300
29,2.4283169966413385,0.1300791436991407,4.606091617481793e-05,15599.43958555776,CO2,1525.6856541410589,19143.17011212798,0.573469387755102,0.87445964497247,2630.575584762774,0.3590307097011989,300
30,2.497450576616893,0.12510003772022618,4.468743666318905e-05,15906.885685385576,CO2,1467.2862032648457,19647.52689111728,0.589795918367347,0.8780813468236424,2711.4269814695144,0.3590307097011989,300
31,2.5665841565924468,0.12012093174131172,4.33439353349603e-05,16203.638117727547,CO2,1408.886752388633,20150.71165565734,0.6061224489795919,0.8816312409336986,2795.471167186572,0.3590307097011989,300
32,2.635717736568001,0.11514182576239726,4.2027131208012604e-05,16488.97707876338,CO2,1350.4873015124203,20652.697782338804,0.6224489795918368,0.8851175430315366,2883.0595384102726,0.3590307097011989,300
33,2.704851316543555,0.11016271978348278,4.0733861351463155e-05,16762.11317775977,CO2,1292.0878506362078,21153.452448607633,0.6387755102040816,0.8885482331710426,2974.594538333118,0.3590307097011989,300
34,2.773984896519109,0.10518361380456831,3.946104186621743e-05,17022.176611452203,CO2,1233.688399759995,21652.935920645767,0.6551020408163265,0.8919311532932724,3070.540355018136,0.3590307097011989,300
35,2.8431184764946633,0.10020450782565381,3.820562817954809e-05,17268.204022821767,CO2,1175.288948883782,22151.10064980845,0.6714285714285715,0.8952741083309572,3171.4364420827064,0.3590307097011989,300
36,2.9122520564702175,0.09522540184673935,3.696457216913144e-05,17499.122001236614,CO2,1116.8894980075693,22647.8900950255,0.6877551020408164,0.8985849774161481,3277.91488961058,0.3590307097011989,300
37,2.9813856364457716,0.09024629586782487,3.57347795433876e-05,17713.728472621675,CO2,1058.4900471313565,23143.237378322417,0.7040816326530612,0.9018718260611073,3390.7225131797854,0.3590307097011989,300
38,3.050519216421326,0.08526718988891037,3.4513053320728536e-05,17910.666019484976,CO2,1000.0905962551435,23637.06328430009,0.7204081632653062,0.905143057199137,3510.750566612664,0.3590307097011989,300
39,3.1196527963968803,0.08028808390999591,3.3296035602703986e-05,18088.391606075897,CO2,941.6911453789307,24129.273979238016,0.7367346938775511,0.908407568797891,3639.0735205557257,0.3590307097011989,300
40,3.188786376372434,0.07530897793108145,3.2080132060489264e-05,18245.135804631856,CO2,883.2916945027182,24619.75788364181,0.753061224489796,0.9116749600220664,3777.0019547554452,0.3590307097011989,300
41,3.257919956347988,0.07032987195216697,3.086141845988074e-05,18378.85029224152,CO2,824.8922436265054,25108.381602932324,0.7693877551020408,0.9149557884077072,3926.155295123431,0.3590307097011989,300
42,3.3270535363235423,0.0653507659732525,2.9635519545738313e-05,18487.138293117856,CO2,766.4927927502928,25594.98448296267,0.7857142857142857,0.9182619049073546,4088.5641068069267,0.3590307097011989,300
43,3.396187116299097,0.060371659994338,2.8397447626653493e-05,18567.160719242947,CO2,708.0933418740797,26079.371198791298,0.8020408163265307,0.9216069022056349,4266.817324369505,0.3590307097011989,300
44,3.4653206962746506,0.055392554015423534,2.714138099575497e-05,18615.50670620775,CO2,649.693890997867,26561.30144954301,0.8183673469387756,0.9250067318952284,4464.279894977775,0.3590307097011989,300
45,3.5344542762502043,0.050413448036509066,2.5860350087143763e-05,18628.010391477717,CO2,591.2944401216542,27040.475263418954,0.8346938775510204,0.9284805804064381,4685.424640152792,0.3590307097011989,300
46,3.6035878562257593,0.045434342057594564,2.4545777652589634e-05,18599.48376661693,CO2,532.8949892454413,27516.51141487239,0.8510204081632654,0.932052154203319,4936.357006741541,0.3590307097011989,300
47,3.672721436201313,0.040455236078680096,2.3186778669478795e-05,18523.313079254538,CO2,474.4955383692285,27988.9145840225,0.8673469387755103,0.9357516385526832,5225.681550183376,0.3590307097011989,300
48,3.7418550161768676,0.03547613009976563,2.1769043867012678e-05,18390.821574362828,CO2,416.0960874930159,28457.023134273517,0.8836734693877552,0.9396188236058836,5566.0102594073305,0.3590307097011989,300
49,3.810988596152421,0.03049702412085116,2.0272962973497592e-05,18190.210313036372,CO2,357.6966366168032,28919.921683504268,0.9,0.9437083626370923,5976.764307204598,0.3590307097011989,300
