,jg,jl,B,DpDz,Substance,Re liquid,Re gas,x,fi,alpha,Pred,G,T
27,3.1535512390997784,0.1334382636011096,4.454677040044947e-05,20071.061206033526,CO2,1396.9751041639422,19022.68227496183,0.5408163265306123,0.8784526895149217,2985.371341289134,0.26698499941271026,300,-20
28,3.248752785940526,0.1286937920064035,4.322218481939476e-05,20522.511250723073,CO2,1347.304878238113,19558.021659172202,0.5571428571428572,0.8819532926344401,3076.8609281596046,0.26698499941271026,300,-20
29,3.343954332781274,0.12394932041169739,4.193222170735902e-05,20961.449104334388,CO2,1297.634652312284,20092.279530530344,0.573469387755102,0.885369086278249,3171.514560535429,0.26698499941271026,300,-20
30,3.4391558796220227,0.11920484881699123,4.067349783173018e-05,21387.044486523424,CO2,1247.9644263864545,20625.440794160877,0.589795918367347,0.8887085231200377,3269.6635103937856,0.26698499941271026,300,-20
31,3.5343574264627704,0.11446037722228512,3.944281978348296e-05,21798.395376518074,CO2,1198.2942004606257,21157.485381771337,0.6061224489795919,0.8919796309064204,3371.682157374031,0.26698499941271026,300,-20
32,3.6295589733035185,0.109715905627579,3.823714519466304e-05,22194.517760492727,CO2,1148.6239745347966,21688.38784325611,0.6224489795918368,0.8951901073124703,3477.996357297376,0.26698499941271026,300,-20
33,3.724760520144266,0.1049714340328729,3.705354482476665e-05,22574.332835615525,CO2,1098.9537486089678,22218.116782346464,0.6387755102040816,0.8983474142688204,3589.093899906686,0.26698499941271026,300,-20
34,3.8199620669850143,0.10022696243816678,3.5889169806763256e-05,22936.65410402765,CO2,1049.283522683139,22746.634289486574,0.6551020408163265,0.9014588601146891,3705.5371416094285,0.26698499941271026,300,-20
35,3.915163613825763,0.09548249084346064,3.474120991208008e-05,23280.16677104956,CO2,999.6132967573095,23273.894914540575,0.6714285714285715,0.9045317071831017,3827.979855538843,0.26698499941271026,300,-20
36,4.0103651606665105,0.09073801924875452,3.360685862677756e-05,23603.407768495905,CO2,949.9430708314806,23799.844693253257,0.6877551020408164,0.9075732626398255,3957.1878222061823,0.26698499941271026,300,-20
37,4.105566707507259,0.08599354765404842,3.248326976178595e-05,23904.737926580565,CO2,900.2728449056516,24324.419717441207,0.7040816326530612,0.9105909933598113,4094.066043097046,0.26698499941271026,300,-20
38,4.200768254348007,0.08124907605934227,3.136751000111953e-05,24182.308167683786,CO2,850.6026189798222,24847.544372019154,0.7204081632653062,0.913592653207857,4239.6942471921575,0.26698499941271026,300,-20
39,4.295969801188755,0.07650460446463615,3.025650301357668e-05,24434.016614835735,CO2,800.9323930539931,25369.12906064004,0.7367346938775511,0.9165864346267243,4395.3741660367805,0.26698499941271026,300,-20
40,4.391171348029503,0.07176013286993005,2.9146961602024758e-05,24657.453597609638,CO2,751.2621671281643,25889.067250537075,0.753061224489796,0.9195811543260359,4562.6934812735535,0.26698499941271026,300,-20
41,4.486372894870251,0.06701566127522395,2.8035302638133102e-05,24849.830071801345,CO2,701.5919412023353,26407.231582693057,0.7693877551020408,0.9225864876966131,4743.613914821815,0.26698499941271026,300,-20
42,4.581574441710999,0.06227118968051783,2.6917537123375545e-05,25007.88286987455,CO2,651.9217152765063,26923.46867264842,0.7857142857142857,0.92561327333782,4940.595088285392,0.26698499941271026,300,-20
43,4.676775988551747,0.05752671808581168,2.5789123771797576e-05,25127.746815581497,CO2,602.251489350677,27437.592031891825,0.8020408163265307,0.9286739201526771,5156.772788299322,0.26698499941271026,300,-20
44,4.771977535392495,0.05278224649110557,2.464476814878454e-05,25204.778304420222,CO2,552.5812634248481,27949.37222501485,0.8183673469387756,0.9317829673196455,5396.222471950819,0.26698499941271026,300,-20
45,4.867179082233243,0.04803777489639945,2.3478138543004205e-05,25233.30577412207,CO2,502.911037499019,28458.52284375235,0.8346938775510204,0.9349578779178308,5664.360973801121,0.26698499941271026,300,-20
46,4.962380629073992,0.043293303301693314,2.2281448181616933e-05,25206.264631010086,CO2,453.2408115731898,28964.679838836313,0.8510204081632654,0.9382202073302401,5968.582051601555,0.26698499941271026,300,-20
47,5.057582175914739,0.0385488317069872,2.104482337982114e-05,25114.64860318163,CO2,403.57058564736076,29467.370240079163,0.8673469387755103,0.9415973723303747,6319.304719278628,0.26698499941271026,300,-20
48,5.152783722755488,0.03380436011228109,1.9755290621145377e-05,24946.63939153127,CO2,353.90035972153186,29965.962191202434,0.8836734693877552,0.9451254886441172,6731.799306366189,0.26698499941271026,300,-20
49,5.247985269596235,0.029059888517574975,1.8395076766150717e-05,24686.16163624483,CO2,304.23013379570284,30459.581405321544,0.9,0.9488541357692891,7229.57851120279,0.26698499941271026,300,-20
