,Substance,x,G,T,Liquid density,Gas density,Lquid viscosity,Gas viscosity,Simplex density,Simplex viscosity,jl,jg,Re liquid,Re gas,fi,alpha,Pred,B,DpDz
10,CO2,0.263265306122449,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.20533970973971596,2.1398384119866836,1909.3837132897374,10133.180848950193,0.809915803286643,2039.6446216147656,0.19256120354572445,7.10332117889094e-05,14824.556746118637
11,CO2,0.2795918367346939,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.20078924525794942,2.2725415693191904,1867.0705008068628,10715.525740550243,0.8168949407997126,2121.698636324085,0.19256120354572445,6.82860920494748e-05,15622.141095290857
12,CO2,0.29591836734693877,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.19623878077618287,2.4052447266516976,1824.7572883239875,11296.331947191351,0.8234043417895786,2204.0582878445257,0.19256120354572445,6.573442688893699e-05,16414.42205759128
13,CO2,0.3122448979591837,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.19168831629441632,2.5379478839842053,1782.4440758411124,11875.693240150968,0.8295010875791171,2286.8848409503307,0.19256120354572445,6.3353652876139e-05,17200.980890800194
14,CO2,0.3285714285714286,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.18713785181264975,2.670651041316713,1740.1308633582375,12453.689402036083,0.8352331668115021,2370.3339287616363,0.19256120354572445,6.112324792016305e-05,17981.372886251895
15,CO2,0.3448979591836735,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.18258738733088317,2.8033541986492208,1697.8176508753625,13030.388457226503,0.840641300933994,2454.5582555222068,0.19256120354572445,5.9025899285673256e-05,18755.127444744645
16,CO2,0.36122448979591837,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.17803692284911662,2.936057355981728,1655.5044383924874,13605.848477405272,0.8457603328562153,2539.7098272832245,0.19256120354572445,5.7046874735392575e-05,19521.74868147854
17,CO2,0.37755102040816324,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.17348645836735008,3.0687605133142353,1613.191225909612,14180.11897859359,0.8506203080248775,2625.94202805896,0.19256120354572445,5.517353651876529e-05,20280.71483805596
18,CO2,0.3938775510204082,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.1689359938855835,3.2014636706467434,1570.878013426737,14753.242031738653,0.8552473229017624,2713.411565812337,0.19256120354572445,5.339496234434931e-05,21031.477224940467
19,CO2,0.4102040816326531,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.16438552940381693,3.3341668279792507,1528.5648009438619,15325.25314505729,0.8596641988236154,2802.2803731363265,0.19256120354572445,5.1701646191497384e-05,21773.458660112432
20,CO2,0.42653061224489797,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.15983506492205038,3.466869985311758,1486.251588460987,15896.181964473226,0.8638910227992065,2892.717528656735,0.19256120354572445,5.008525960312115e-05,22506.051427081595
21,CO2,0.44285714285714284,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.15528460044028383,3.599573142644265,1443.9383759781117,16466.0528530034,0.8679455830237097,2984.901195053902,0.19256120354572445,4.853846037562235e-05,23228.615295453932
22,CO2,0.4591836734693878,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.15073413595851726,3.7322762999767733,1401.6251634952366,17034.885252732074,0.8718437349497881,3079.020930834844,0.19256120354572445,4.705473318818533e-05,23940.473109515588
