x,G,T,Simplex density,Simplex viscosity,jl,jg,DpDz,Target
0.4799,300,-20,0.049836076746133266,0.0922828672589128,0.15114048017990747,2.7983423676435923,18288.526967133534,21171.3
0.5567,300,-20,0.049836076746133266,0.0922828672589128,0.1288224857984099,3.246170443982471,20510.427162655957,24482.5
0.7034,300,-20,0.049836076746133266,0.0922828672589128,0.08619162934312738,4.101592042926658,23892.61903625254,28527.0
0.7801,300,-20,0.049836076746133266,0.0922828672589128,0.06390269485014738,4.548837009791137,24957.63101450205,29171.5
0.7938,300,-20,0.049836076746133266,0.0922828672589128,0.05992149012323963,4.628723007783879,25072.287217232784,29184.5
0.8116,300,-20,0.049836076746133266,0.0922828672589128,0.05474882996711127,4.732516494227005,25178.383069138483,29201.5
0.8281,300,-20,0.049836076746133266,0.0922828672589128,0.04995394836171141,4.828729557502935,25228.038590766962,29217.1
0.8418,300,-20,0.049836076746133266,0.0922828672589128,0.04597274363480362,4.908615555495678,25228.842731955363,29420.7
0.8582,300,-20,0.049836076746133266,0.0922828672589128,0.04120692191792134,5.004245509297209,25174.5523642664,29531.600000000002
0.8733,300,-20,0.049836076746133266,0.0922828672589128,0.036818878751767516,5.092295039931547,25062.97325182071,29165.0
0.8897,300,-20,0.049836076746133266,0.0922828672589128,0.032053057034885195,5.187924993733079,24862.29027925223,29466.3
0.0933,300,-30,0.03429055173393271,0.07481867141005738,0.2527117514190865,0.7583487804712805,8594.686268837255,9850.699999999999
0.1221,300,-30,0.03429055173393271,0.07481867141005738,0.2446847320732503,0.9924371500058238,10338.889430861951,10544.800000000001
0.1495,300,-30,0.03429055173393271,0.07481867141005738,0.2370479150567256,1.2151462237991044,11935.976334504123,11713.800000000001
0.1783,300,-30,0.03429055173393271,0.07481867141005738,0.22902089571088938,1.4492345933336475,13556.738645408408,12788.8
0.2071,300,-30,0.03429055173393271,0.07481867141005738,0.22099387636505313,1.6833229628681907,15121.597064366862,13578.2
0.2345,300,-30,0.03429055173393271,0.07481867141005738,0.21335705934852847,1.9060320366614714,13407.580525281492,14461.4
0.2633,300,-30,0.03429055173393271,0.07481867141005738,0.20533004000269225,2.1401204061960146,14826.256955143937,15822.2
0.3072,300,-30,0.03429055173393271,0.07481867141005738,0.1930944098192822,2.4969426083684607,16958.571325579538,17959.2
0.3786,300,-30,0.03429055173393271,0.07481867141005738,0.17319409102439656,3.0772866911728487,20329.203938923965,22217.600000000002
0.5199,300,-30,0.03429055173393271,0.07481867141005738,0.13381152735888766,4.225782754201702,26481.353586017656,30733.2
0.5939,300,-30,0.03429055173393271,0.07481867141005738,0.11318654709528073,4.827259814811291,29300.346453130318,34232.3
0.6666,300,-30,0.03429055173393271,0.07481867141005738,0.09292389756603447,5.41817038651828,31675.441247485818,36777.700000000004
0.6789,300,-30,0.03429055173393271,0.07481867141005738,0.08949569138708359,5.5181456276736585,32028.91312890795,36884.6
0.7228,300,-30,0.03429055173393271,0.07481867141005738,0.07726006120367353,5.8749678298461046,33151.04667803131,37878.799999999996
0.7502,300,-30,0.03429055173393271,0.07481867141005738,0.06962324418714881,6.097676903639385,33723.803098248376,38571.6
0.7776,300,-30,0.03429055173393271,0.07481867141005738,0.06198642717062408,6.320385977432666,34178.7527498781,38597.700000000004
0.7927,300,-30,0.03429055173393271,0.07481867141005738,0.057777816333050236,6.443119810070569,34371.38029418935,38612.0
0.8077,300,-30,0.03429055173393271,0.07481867141005738,0.0535970770904272,6.5650408358698105,34516.28293876491,38531.1
0.8228,300,-30,0.03429055173393271,0.07481867141005738,0.04938846625285336,6.687774668507713,34609.96659252778,38545.5
0.8365,300,-30,0.03429055173393271,0.07481867141005738,0.04557005774459098,6.799129205404354,34644.166588722976,37987.1
0.8516,300,-30,0.03429055173393271,0.07481867141005738,0.04136144690701714,6.9218630380422566,34618.4397784117,37811.0
0.8639,300,-30,0.03429055173393271,0.07481867141005738,0.03793324072806625,7.021838279197635,34541.67654048073,38203.7
0.8762,300,-30,0.03429055173393271,0.07481867141005738,0.03450503454911538,7.121813520353012,34407.619483904964,37929.7
0.894,300,-30,0.03429055173393271,0.07481867141005738,0.02954389064786938,7.266493137634778,34094.44606756929,37184.7
0.1071,300,-35,0.02830520083177786,0.06742413040261112,0.2441726864705931,1.0347072418584722,10541.204394864255,11673.3
0.1331,300,-35,0.02830520083177786,0.06742413040261112,0.23706271911900229,1.2858966749893805,12326.94241645473,13507.7
0.1743,300,-35,0.02830520083177786,0.06742413040261112,0.22579615546955842,1.6839353151814354,12066.366528604914,15261.2
0.2141,300,-35,0.02830520083177786,0.06742413040261112,0.21491243621596942,2.068448370512595,14416.259425842043,17108.6
0.2415,300,-35,0.02830520083177786,0.06742413040261112,0.20741962446852372,2.3331633885043983,16020.020310022755,18849.0
0.2689,300,-35,0.02830520083177786,0.06742413040261112,0.19992681272107807,2.597878406496201,17610.359203617292,20875.1
0.3115,300,-35,0.02830520083177786,0.06742413040261112,0.1882774046757793,3.009442631549151,20051.16451242844,23296.600000000002
0.3774,300,-35,0.02830520083177786,0.06742413040261112,0.17025637204232416,3.6461112332155685,23730.79213399552,28502.199999999997
0.5132,300,-35,0.02830520083177786,0.06742413040261112,0.13312046564439994,4.95809296472239,30774.62726950454,39584.0
0.6477,300,-35,0.02830520083177786,0.06742413040261112,0.09634005761405524,6.257515224572665,36602.55009182223,46950.1
0.7203,300,-35,0.02830520083177786,0.06742413040261112,0.07648684108615172,6.958913410930509,38986.115320606405,49590.8
0.7423,300,-35,0.02830520083177786,0.06742413040261112,0.07047071486557492,7.171458315887431,39559.28829862264,50373.5
0.7765,300,-35,0.02830520083177786,0.06742413040261112,0.06111837319540549,7.50186903177501,40276.768389312274,50787.100000000006
0.7943,300,-35,0.02830520083177786,0.06742413040261112,0.05625078016239332,7.6738371821492475,40552.95694016846,50232.6
0.8135,300,-35,0.02830520083177786,0.06742413040261112,0.05100034273352628,7.859330917384381,40763.39692959383,50441.4
0.8299,300,-35,0.02830520083177786,0.06742413040261112,0.04651559409636901,8.017773482897722,40861.08694554241,49885.6
0.8477,300,-35,0.02830520083177786,0.06742413040261112,0.041648001063356845,8.189741633271959,40868.1878136093,49521.6
0.8642,300,-35,0.02830520083177786,0.06742413040261112,0.03713590639792423,8.349150311989652,40767.617075914255,49918.2
0.8779,300,-35,0.02830520083177786,0.06742413040261112,0.03338950052420138,8.481507820985554,40592.1649702573,49836.0
0.1099,300,-40,0.023257527843949827,0.06075676765910995,0.23905686672924997,1.2691021060511865,9530.158163368109,13485.5
0.1332,300,-40,0.023257527843949827,0.06075676765910995,0.23279911479711707,1.5381656098818748,11182.11754883297,15507.8
0.1661,300,-40,0.023257527843949827,0.06075676765910995,0.22396306163972762,1.9180878964067523,13502.727326922117,16396.2
0.1867,300,-40,0.023257527843949827,0.06075676765910995,0.2184304569271981,2.1559723676047,14948.958648500036,17844.4
0.2087,300,-40,0.023257527843949827,0.06075676765910995,0.21252184995265197,2.4100237446122166,16487.146734269914,19960.6
0.2375,300,-40,0.023257527843949827,0.06075676765910995,0.20478694627688251,2.742600092694784,18489.358355207092,22845.199999999997
0.2649,300,-40,0.023257527843949827,0.06075676765910995,0.19742804486312962,3.059009534967783,20379.986391284616,24109.4
0.3281,300,-40,0.023257527843949827,0.06075676765910995,0.1804542284635244,3.788829854371195,24672.648412581217,29121.9
0.394,300,-40,0.023257527843949827,0.06075676765910995,0.1627552648443158,4.549829206407347,29012.918500855554,35184.7
0.4613,300,-40,0.023257527843949827,0.06075676765910995,0.14468029896309062,5.326995464253069,33249.09837140993,42391.6
0.5285,300,-40,0.023257527843949827,0.06075676765910995,0.12663219038629522,6.103006943112393,37214.47166689407,47789.0
0.5958,300,-40,0.023257527843949827,0.06075676765910995,0.10855722450507005,6.880173200958116,40835.61089979431,52329.2
0.6657,300,-40,0.023257527843949827,0.06075676765910995,0.08978396870867125,7.68736371245018,44102.29666608412,55729.2
0.7329,300,-40,0.023257527843949827,0.06075676765910995,0.07173586013187583,8.463375191309504,46595.56066780222,58650.3
0.7699,300,-40,0.023257527843949827,0.06075676765910995,0.061798657492866435,8.890643416276692,47605.42800539692,59161.8
0.7973,300,-40,0.023257527843949827,0.06075676765910995,0.05443975607911355,9.207052858549691,48139.404035715335,59378.3
0.822,300,-40,0.023257527843949827,0.06075676765910995,0.04780600188496406,9.492283268189947,48430.35914478864,59687.5
0.8316,300,-40,0.023257527843949827,0.06075676765910995,0.045227700659707555,9.603142050884136,48486.65163844827,59410.9
0.8521,300,-40,0.023257527843949827,0.06075676765910995,0.03972195325160778,9.839871743095687,48482.865693816544,59335.299999999996
0.8617,300,-40,0.023257527843949827,0.06075676765910995,0.037143652026351275,9.950730525789876,48415.49516858226,59249.200000000004
0.8781,300,-40,0.023257527843949827,0.06075676765910995,0.03273905409987145,10.140114279559116,48187.20753419406,59169.600000000006
0.8904,300,-40,0.023257527843949827,0.06075676765910995,0.02943560565501158,10.282152094886046,47907.71015968086,58990.8
0.9055,300,-40,0.023257527843949827,0.06075676765910995,0.02538015268611856,10.456523721832113,47411.9768963176,58910.0
0.9315,300,-40,0.023257527843949827,0.06075676765910995,0.018397253534382232,10.756766258295542,46040.2730367479,57982.3
0.9589,300,-40,0.023257527843949827,0.06075676765910995,0.011038352120629345,11.073175700568543,43470.381697934965,58389.4
